id,images,order,geometry,represents,category,subcategory,notes,Primary Name - Japanese,Primary Name - English Translation,Primary Name - Hiragana Reading,Primary Name - Romaji,Primary Name - English Substitutions for Kanji,Secondary Name - Japanese,Secondary Name - English Translation,Secondary Name - Hiragana Reading,Secondary Name - Romaji,Secondary Name - English Substitutions for Kanji,Tertiary Name - Japanese,Tertiary Name - English Translation,Tertiary Name - Hiragana Reading,Tertiary Name - Romaji,Tertiary Name - English Substitutions for Kanji,Quaternary Name - Japanese,Quaternary Name - English Translation,Quaternary Name - Hiragana Reading,Quaternary Name - Romaji,Quaternary Name - English Substitutions for Kanji,Quinternary Name - Japanese,Quinternary Name - English Translation,Quinternary Name - Hiragana Reading,Quinternary Name - Romaji,Quinternary Name - English Substitutions for Kanji
137,"137.png (https://dl.airtable.com/PlHkUN7cSamo2hoyJNwA_137.png),137b.png (https://dl.airtable.com/X8QTuxkTMmutBV9I28VU_137b.png)",1,"basic element - 3 - triangle,repetition - 6-agonal grid",plant - hemp,pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,麻の葉,hemp leaf,あさのは,asa no ha,hemp leaf,,,,,,,,,,,,,,,,,,,,
336,336.png (https://dl.airtable.com/ul7EVPdOTNeeUtePNikj_336.png),2,"element - star - asterisk,repetition - 6-agonal grid",plant - hemp,pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,崩れ麻の葉,broken hemp leaf,くずれあさのは,kuzure asa no ha,break hemp leaf,,,,,,,,,,,,,,,,,,,,
59,"59b.png (https://dl.airtable.com/HOnPtXSAR1Wm8uBrZKeA_59b.png),59.png (https://dl.airtable.com/ZHeOxyMQFOXDzUgCvd5A_59.png)",3,"element - swastika / pinwheel / spiral,repetition - 3-agonal grid",plant - hemp,pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,捻れ麻の葉,twisted hemp leaf,ねじれあさのは,nejire asa no ha,twist hemp leaf,,,,,,,,,,,,,,,,,,,,
142,142.png (https://dl.airtable.com/8MPNf0FQTiFaqMRKj27s_142.png),4,"element - O-shaped - lens,repetition - 6-agonal grid","plant - hemp,ring",pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,輪違い麻の葉,hemp leaf of interlocked rings,わちがいあさのは,wa chigai asa no ha,ring staggered hemp leaf,麻の葉兎,hemp leaf loops,あさのはうさぎ,asa no ha usagi,hemp leaf rabbit,,,,,,,,,,,,,,,
51,51.png (https://dl.airtable.com/PP15lQyTVC4RdmW76xIB_51.png),5,"basic element - line - non-straight - zig-zag,repetition - 6-agonal grid","plant - hemp,plant - pine",pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,松川麻の葉,pine bark hemp leaf,まつかわあさのは,matsukawa asa no ha,pine skin hemp leaf,,,,,,,,,,,,,,,,,,,,
138,138.png (https://dl.airtable.com/xjT9nMG7Rumr2Y794CSh_138.png),6,repetition - 6-agonal grid,"body part - flower,animal - tortoise,body part - epidermis - other,plant - cherry blossom",pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,桜亀甲,cherry blossom tortoise shell,さくらきっこう,sakura kikkō,cherry-blossom tortoise shell,桜,cherry blossom,さくら,sakura,cherry-blossom,,,,,,,,,,,,,,,
520,520.png (https://dl.airtable.com/UibeXY9QQWy4q1SlUlBE_520.png),7,"basic element - 4 - rhombus,element - star - other,basic element - 6 - hexagon",plant - cherry blossom,pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,桜割,split cherry blossom,さくらわり,sakura wari,cherry-blossom split,,,,,,,,,,,,,,,,,,,,
154,154.png (https://dl.airtable.com/La9dtrwQRaRtOWOHXMUS_154.png),8,repetition - 6-agonal grid,"plant - hemp,body part - flower,plant - bellflower",pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,桔梗麻の葉,bellflower hemp leaf,ききょうあさのは,kikyō asa no ha,orange stem hemp leaf,,,,,,,,,,,,,,,,,,,,
525,525.png (https://dl.airtable.com/cBynLZkRUCh00BF9RDr6_525.png),9,repetition - 6-agonal grid,"plant - hemp,wickerwork",pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,網代麻の葉,wickerwork hemp leaf,あじろあさのは,ajiro asa no ha,net alternatingly hemp leaf,,,,,,,,,,,,,,,,,,,,
152,152.png (https://dl.airtable.com/t7kBgElSS4SKTpVs2a4Z_152.png),10,"basic element - 3 - triangle,repetition - 6-agonal grid","plant - hemp,animal - tortoise,body part - flower,body part - epidermis - other",pattern with triangular or hexagonal symmetry / 三角か六角対称性文様 / さんかくかろっかくたいしょうせいもんよう / sankaku ka rokkaku taishōsei monyō,hemp / 麻 / あさ / asa,,飛び麻の葉,flying hemp leaf,とびあさのは,tobi asa no ha,fly hemp leaf,八重裏花亀甲,layered underside of a floral tortoise shell,やえうらはなきっこう,yae ura hana kikkō,eight layer underside flower tortoise shell,,,,,,,,,,,,,,,
