id,name,images,sub-subcategory,final order,repetition type,geometry,represents,modifier (from name),limited to craft,notes,fundamentality,super-supercategory,supercategory,subcategory,original manual order,alternate name,alternate name 2,alternate name 3,alternate name 4
137,hemp leaf / 麻ノ葉 / あさのは / asa no ha,"137.png (https://dl.airtable.com/PlHkUN7cSamo2hoyJNwA_137.png),137b.png (https://dl.airtable.com/X8QTuxkTMmutBV9I28VU_137b.png)",001 - asa,1,6-agonal grid,basic element - 3 - triangle,"hemp,plant",,,,basic building block,01 - pattern,01 - 3or6gon,01 - asa,276,,,,
336,broken hemp leaf / 崩れ麻ノ葉 / くずれあさのは / kuzure asa no ha,336.png (https://dl.airtable.com/ul7EVPdOTNeeUtePNikj_336.png),002 - asa kawari,2,6-agonal grid,element - star - asterisk,"hemp,plant",broken,,,variant,01 - pattern,01 - 3or6gon,01 - asa,351,,,,
59,twisted hemp leaf / 捻れ麻ノ葉 / ねじれあさのは / nejire asa no ha,"59b.png (https://dl.airtable.com/BZkn17u8SkaTSZjIA1nJ_59b.png),59.png (https://dl.airtable.com/fJumTrsQbymFBapTWEIm_59.png)",002 - asa kawari,3,3-agonal grid,element - swastika / pinwheel / spiral,"hemp,plant",,,,variant,01 - pattern,01 - 3or6gon,01 - asa,350,,,,
142,staggered ring hemp leaf / 輪違い麻ノ葉 / わちがいあさのは / wa chigai asa no ha,142.png (https://dl.airtable.com/gwtRE6SsQXG49S91Bug6_142.png),002 - asa kawari,4,6-agonal grid,"hexagonal ring-like,element - 2 - lens","hemp,ring,plant",staggered,,"The ""loops"" part literally means rabbit, but is used to refer to knots shaped like their ears.",variant,01 - pattern,01 - 3or6gon,01 - asa,279,hemp leaf loops / 麻ノ葉兎 / あさのはうさぎ / asa no ha usagi,,,
51,pine bark hemp leaf / 松川麻ノ葉 / まつかわあさのは / matsukawa asa no ha,51.png (https://dl.airtable.com/PP15lQyTVC4RdmW76xIB_51.png),002 - asa kawari,5,6-agonal grid,zig-zag,"hemp,pine,plant",,,,variant,01 - pattern,01 - 3or6gon,01 - asa,336,,,,
138,cherry blossom tortoise shell / 桜亀甲 / さくらきっこう / sakura kikkō ,138.png (https://dl.airtable.com/xjT9nMG7Rumr2Y794CSh_138.png),002 - asa kawari,6,6-agonal grid,,"flower,tortoise shell,animal epidermis,plant,cherry blossom",,,,one-off / other,01 - pattern,01 - 3or6gon,01 - asa,280,cherry blossom / 桜 / さくら / sakura,,,
154,bellflower hemp leaf / 桔梗麻ノ葉 / ききょうあさのは / kikyō asa no ha,154.png (https://dl.airtable.com/Ty4yOzRzTVO9YGZ2EclV_154.png),002 - asa kawari,7,6-agonal grid,,"hemp,flower,plant",,,,complex compound,01 - pattern,01 - 3or6gon,01 - asa,349,,,,
152,jumping hemp leaf / 飛び麻ノ葉 / とびあさのは / tobi asa no ha,152.png (https://dl.airtable.com/uZyPANP1QtuyA0LFm6GU_152.png),003 - asa kuzushi,8,6-agonal grid,basic element - 3 - triangle,"hemp,tortoise shell,flower,animal epidermis,plant",layered,,,variant,01 - pattern,01 - 3or6gon,01 - asa,347,layered underside flower tortoise shell / 八重裏花亀甲 / やえうらはなきっこう / yae ura hana kikkō,,,
271,morning glory / 朝顔 / あさがお / asagao,271.png (https://dl.airtable.com/zV8NqkZTQtevauFGlUJT_271.png),003 - asa kuzushi,9,6-agonal grid,"zig-zag,aspect - non-45 degree angles,element - star - general,basic element - 6 - hexagon,layered zig-zag","flower,plant",,刺し子,,one-off / other,01 - pattern,01 - 3or6gon,01 - asa,337,,,,
170,tortoise shell / 亀甲 / きっこう / kikkō,170.png (https://dl.airtable.com/SGb1VkNnQviLhBT0MdD5_170.png),004 - kikko,10,6-agonal grid,"zig-zag,zig-zag with spokes","tortoise shell,animal epidermis",,,,basic building block,01 - pattern,01 - 3or6gon,02 - kikko,282,,,,
234,straw sack tortoise shell / 俵亀甲 / たわらきっこう / tawara kikkō,234.png (https://dl.airtable.com/WOov8scbRc6GCrOClHmb_234.png),005 - kikko kawari,11,6-agonal grid,,"tortoise shell,straw sack,animal epidermis,container",,,,variant,01 - pattern,01 - 3or6gon,02 - kikko,291,,,,
233,hail tortoise shell / 霰亀甲 / あられきっこう / arare kikkō,233.png (https://dl.airtable.com/E5uiGmQFTqKQro3PYnKv_233.png),005 - kikko kawari,12,6-agonal grid,basic element - 4 - trapezoid,"water,tortoise shell,animal epidermis,ice / snow",layered,,,variant,01 - pattern,01 - 3or6gon,02 - kikko,290,triple tortoise shell / 三重亀甲 / みえきっこう / mie kikkō,,,
19,bamboo grass gentian stitch / 笹竜胆刺し子 / ささりんどうさしこ / sasa rindо̄ sashiko,19.png (https://dl.airtable.com/H44cVdkQ6rs4Dqzm1C2A_19.png),005 - kikko kawari,13,6-agonal grid,"basic element - 3 - triangle,aspect - waves & circumscriptions,element - 3 - Reuleaux triangle","flower,gentian,grass,bamboo,plant",,刺し子,,one-off / other,01 - pattern,01 - 3or6gon,02 - kikko,278,,,,
213,star & three rhombus / 星と三つ菱 / ほしとみつびし / hoshi to mitsu bishi,213.png (https://dl.airtable.com/BOOWVImvS6a1WrOovRML_213.png),005 - kikko kawari,14,6-agonal grid,"element - star - general,basic element - 4 - rhombus",,,刺し子,,one-off / other,01 - pattern,01 - 3or6gon,02 - kikko,354,,,,
157,hexagonal staggered rings / 六方輪違い / ろっぽうわちがい / roppō wa chigai,157.png (https://dl.airtable.com/TCuICoPhSuW5g798nze8_157.png),005 - kikko kawari,15,6-agonal grid,"basic element - 1 - ring / circle / dot,polyelement - linked rings,hexagonal ring-like,element - 2 - lens",ring,staggered,,,complex compound,01 - pattern,01 - 3or6gon,02 - kikko,355,,,,
100,Vaiśravaṇa / 毘沙門 / びしゃもん / bishamon,"100.png (https://dl.airtable.com/Ocg215cES6CQFtrF804g_100.png),100c.png (https://dl.airtable.com/XpynpQjyS5KsPccRNC33_100c.png),100b.png (https://dl.airtable.com/3GYXORJnSlOC8pUdotHZ_100b.png)",006 - bishamon,16,6-agonal grid,"element - star - asterisk,element - swastika / pinwheel / spiral,element - bishamon","tortoise shell,Vaiśravaṇa,animal epidermis",,,,basic building block,01 - pattern,01 - 3or6gon,03 - bishamon,283,Vaiśravaṇa tortoise shell / 毘沙門亀甲 / びしゃもんきっこう / bishamon kikkō,,,
173,braided tortoise shell / 組亀甲 / くみきっこう / kumi kikkō,"173.png (https://dl.airtable.com/02VrLkzvSKKnG12j2RGQ_173.png),173b.png (https://dl.airtable.com/UGwlNSjnTcSqt6OUkpk1_173b.png)",007 - bishamon kawari,17,6-agonal grid,"element - star - asterisk,basic element - 3 - triangle,aspect - over - under,element - chevron,element - swastika / pinwheel / spiral,element - bishamon","tortoise shell,animal epidermis",braided,,,variant,01 - pattern,01 - 3or6gon,03 - bishamon,285,,,,
49,Vaiśravaṇa sword / 毘沙門剣 / びしゃもんけん / bishamon ken,"49.png (https://dl.airtable.com/meu78cEgTsaiPCJzvtky_49.png),49b.png (https://dl.airtable.com/O48PRePRoOhC2VPf8N6w_49b.png)",007 - bishamon kawari,18,6-agonal grid,"element - star - asterisk,basic element - 3 - triangle,basic element - 4 - trapezoid,aspect - over - under,element - swastika / pinwheel / spiral,element - bishamon","tortoise shell,sword,Vaiśravaṇa,animal epidermis",,,,variant,01 - pattern,01 - 3or6gon,03 - bishamon,284,Vaiśravaṇa sword tortoise shell / 毘沙門剣亀甲 / びしゃもんけんきっこう / bishamon ken kikkō,,,
